__id,id_election,id_brut_miom,code_departement,code_commune,code_bv,no_panneau,voix,ratio_voix_inscrits,ratio_voix_exprimes,nuance,sexe,nom,prenom,liste,libelle_abrege_liste,libelle_etendu_liste,nom_tete_liste,binome
7084194,2024_legi_t2,21016_0001,21,21016,0001,2,196,26.06,38.89,UG,F,HERVIEU,Catherine,,,,,
7084206,2024_legi_t2,21028_0001,21,21028,0001,2,141,23.86,39.83,UG,F,HERVIEU,Catherine,,,,,
7084216,2024_legi_t2,21038_0001,21,21038,0001,2,315,20.97,34.46,UG,F,HERVIEU,Catherine,,,,,
7084217,2024_legi_t2,21038_0002,21,21038,0002,2,274,25.14,44.12,UG,F,HERVIEU,Catherine,,,,,
7084218,2024_legi_t2,21038_0003,21,21038,0003,2,338,24.09,40.14,UG,F,HERVIEU,Catherine,,,,,
7084219,2024_legi_t2,21038_0004,21,21038,0004,2,188,22.62,42.15,UG,F,HERVIEU,Catherine,,,,,
7084234,2024_legi_t2,21053_0001,21,21053,0001,2,32,19.88,26.89,UG,F,HERVIEU,Catherine,,,,,
7084250,2024_legi_t2,21056_0001,21,21056,0001,2,239,35.78,50.1,UG,F,HERVIEU,Catherine,,,,,
7084254,2024_legi_t2,21060_0001,21,21060,0001,2,180,29.41,42.35,UG,F,HERVIEU,Catherine,,,,,
7084255,2024_legi_t2,21060_0002,21,21060,0002,2,194,31.19,48.14,UG,F,HERVIEU,Catherine,,,,,
7084266,2024_legi_t2,21071_0001,21,21071,0001,2,186,31.53,47.81,UG,F,HERVIEU,Catherine,,,,,
7084267,2024_legi_t2,21072_0001,21,21072,0001,2,55,38.19,49.11,UG,F,HERVIEU,Catherine,,,,,
7084268,2024_legi_t2,21074_0001,21,21074,0001,2,44,24.31,34.65,UG,F,HERVIEU,Catherine,,,,,
7084270,2024_legi_t2,21076_0001,21,21076,0001,2,158,24.76,37.44,UG,F,HERVIEU,Catherine,,,,,
7084273,2024_legi_t2,21079_0001,21,21079,0001,2,17,15.89,26.56,UG,F,HERVIEU,Catherine,,,,,
7084288,2024_legi_t2,21094_0001,21,21094,0001,2,47,15.21,21.96,UG,F,HERVIEU,Catherine,,,,,
7084302,2024_legi_t2,21107_0001,21,21107,0001,2,270,34.97,53.78,UG,F,HERVIEU,Catherine,,,,,
7084306,2024_legi_t2,21111_0001,21,21111,0001,2,82,33.06,47.4,UG,F,HERVIEU,Catherine,,,,,
7084330,2024_legi_t2,21135_0001,21,21135,0001,2,61,25,38.61,UG,F,HERVIEU,Catherine,,,,,
7084333,2024_legi_t2,21138_0001,21,21138,0001,2,115,24.63,38.46,UG,F,HERVIEU,Catherine,,,,,
7084341,2024_legi_t2,21146_0001,21,21146,0001,2,34,29.57,41.98,UG,F,HERVIEU,Catherine,,,,,
7084356,2024_legi_t2,21158_0001,21,21158,0001,2,30,21.13,30.93,UG,F,HERVIEU,Catherine,,,,,
7084373,2024_legi_t2,21167_0001,21,21167,0001,2,23,21.3,39.66,UG,F,HERVIEU,Catherine,,,,,
7084388,2024_legi_t2,21175_0001,21,21175,0001,2,32,22.7,32,UG,F,HERVIEU,Catherine,,,,,
7084392,2024_legi_t2,21179_0001,21,21179,0001,2,245,33.2,48.42,UG,F,HERVIEU,Catherine,,,,,
7084393,2024_legi_t2,21180_0001,21,21180,0001,2,26,24.3,31.71,UG,F,HERVIEU,Catherine,,,,,
