__id,id_election,id_brut_miom,code_departement,code_commune,code_bv,no_panneau,voix,ratio_voix_inscrits,ratio_voix_exprimes,nuance,sexe,nom,prenom,liste,libelle_abrege_liste,libelle_etendu_liste,nom_tete_liste,binome
7022579,2024_legi_t2,21016_0001,21,21016,0001,1,308,40.96,61.11,RN,F,GUYENOT,Tatiana,,,,,
7022591,2024_legi_t2,21028_0001,21,21028,0001,1,213,36.04,60.17,RN,F,GUYENOT,Tatiana,,,,,
7022601,2024_legi_t2,21038_0001,21,21038,0001,1,599,39.88,65.54,RN,F,GUYENOT,Tatiana,,,,,
7022602,2024_legi_t2,21038_0002,21,21038,0002,1,347,31.83,55.88,RN,F,GUYENOT,Tatiana,,,,,
7022603,2024_legi_t2,21038_0003,21,21038,0003,1,504,35.92,59.86,RN,F,GUYENOT,Tatiana,,,,,
7022604,2024_legi_t2,21038_0004,21,21038,0004,1,258,31.05,57.85,RN,F,GUYENOT,Tatiana,,,,,
7022619,2024_legi_t2,21053_0001,21,21053,0001,1,87,54.04,73.11,RN,F,GUYENOT,Tatiana,,,,,
7022635,2024_legi_t2,21056_0001,21,21056,0001,1,238,35.63,49.9,RN,F,GUYENOT,Tatiana,,,,,
7022639,2024_legi_t2,21060_0001,21,21060,0001,1,245,40.03,57.65,RN,F,GUYENOT,Tatiana,,,,,
7022640,2024_legi_t2,21060_0002,21,21060,0002,1,209,33.6,51.86,RN,F,GUYENOT,Tatiana,,,,,
7022651,2024_legi_t2,21071_0001,21,21071,0001,1,203,34.41,52.19,RN,F,GUYENOT,Tatiana,,,,,
7022652,2024_legi_t2,21072_0001,21,21072,0001,1,57,39.58,50.89,RN,F,GUYENOT,Tatiana,,,,,
7022653,2024_legi_t2,21074_0001,21,21074,0001,1,83,45.86,65.35,RN,F,GUYENOT,Tatiana,,,,,
7022655,2024_legi_t2,21076_0001,21,21076,0001,1,264,41.38,62.56,RN,F,GUYENOT,Tatiana,,,,,
7022658,2024_legi_t2,21079_0001,21,21079,0001,1,47,43.93,73.44,RN,F,GUYENOT,Tatiana,,,,,
7022673,2024_legi_t2,21094_0001,21,21094,0001,1,167,54.05,78.04,RN,F,GUYENOT,Tatiana,,,,,
7022687,2024_legi_t2,21107_0001,21,21107,0001,1,232,30.05,46.22,RN,F,GUYENOT,Tatiana,,,,,
7022691,2024_legi_t2,21111_0001,21,21111,0001,1,91,36.69,52.6,RN,F,GUYENOT,Tatiana,,,,,
7022715,2024_legi_t2,21135_0001,21,21135,0001,1,97,39.75,61.39,RN,F,GUYENOT,Tatiana,,,,,
7022718,2024_legi_t2,21138_0001,21,21138,0001,1,184,39.4,61.54,RN,F,GUYENOT,Tatiana,,,,,
7022726,2024_legi_t2,21146_0001,21,21146,0001,1,47,40.87,58.02,RN,F,GUYENOT,Tatiana,,,,,
7022741,2024_legi_t2,21158_0001,21,21158,0001,1,67,47.18,69.07,RN,F,GUYENOT,Tatiana,,,,,
7022758,2024_legi_t2,21167_0001,21,21167,0001,1,35,32.41,60.34,RN,F,GUYENOT,Tatiana,,,,,
7022773,2024_legi_t2,21175_0001,21,21175,0001,1,68,48.23,68,RN,F,GUYENOT,Tatiana,,,,,
7022777,2024_legi_t2,21179_0001,21,21179,0001,1,261,35.37,51.58,RN,F,GUYENOT,Tatiana,,,,,
7022778,2024_legi_t2,21180_0001,21,21180,0001,1,56,52.34,68.29,RN,F,GUYENOT,Tatiana,,,,,
7022813,2024_legi_t2,21215_0001,21,21215,0001,1,53,46.09,72.6,RN,F,GUYENOT,Tatiana,,,,,
7022823,2024_legi_t2,21225_0001,21,21225,0001,1,47,47.96,71.21,RN,F,GUYENOT,Tatiana,,,,,
7022846,2024_legi_t2,21231_0018,21,21231,0018,1,175,18.52,26.64,RN,F,GUYENOT,Tatiana,,,,,
7022847,2024_legi_t2,21231_0019,21,21231,0019,1,160,17.86,26.62,RN,F,GUYENOT,Tatiana,,,,,
7022849,2024_legi_t2,21231_0021,21,21231,0021,1,157,18.07,27.21,RN,F,GUYENOT,Tatiana,,,,,
7022865,2024_legi_t2,21231_0037,21,21231,0037,1,279,27.98,46.04,RN,F,GUYENOT,Tatiana,,,,,
7022866,2024_legi_t2,21231_0038,21,21231,0038,1,300,30.3,46.08,RN,F,GUYENOT,Tatiana,,,,,
7022867,2024_legi_t2,21231_0039,21,21231,0039,1,254,27.55,44.1,RN,F,GUYENOT,Tatiana,,,,,
7022868,2024_legi_t2,21231_0040,21,21231,0040,1,197,24.66,38.1,RN,F,GUYENOT,Tatiana,,,,,
7022869,2024_legi_t2,21231_0041,21,21231,0041,1,200,22.45,33.44,RN,F,GUYENOT,Tatiana,,,,,
7022870,2024_legi_t2,21231_0042,21,21231,0042,1,287,33.03,57.52,RN,F,GUYENOT,Tatiana,,,,,
7022871,2024_legi_t2,21231_0043,21,21231,0043,1,210,21.76,35,RN,F,GUYENOT,Tatiana,,,,,
7022872,2024_legi_t2,21231_0044,21,21231,0044,1,97,12.83,23.83,RN,F,GUYENOT,Tatiana,,,,,
7022873,2024_legi_t2,21231_0045,21,21231,0045,1,116,13.3,22.88,RN,F,GUYENOT,Tatiana,,,,,
7022874,2024_legi_t2,21231_0046,21,21231,0046,1,69,7.92,15.83,RN,F,GUYENOT,Tatiana,,,,,
7022875,2024_legi_t2,21231_0047,21,21231,0047,1,178,21.5,34.43,RN,F,GUYENOT,Tatiana,,,,,
7022876,2024_legi_t2,21231_0048,21,21231,0048,1,244,20.8,33.33,RN,F,GUYENOT,Tatiana,,,,,
