__id,id_election,id_brut_miom,code_departement,code_commune,code_bv,no_panneau,voix,ratio_voix_inscrits,ratio_voix_exprimes,nuance,sexe,nom,prenom,liste,libelle_abrege_liste,libelle_etendu_liste,nom_tete_liste,binome
7022568,2024_legi_t2,21005_0001,21,21005,0001,4,250,22.94,37.04,UG,M,PRIBETICH,Pierre,,,,,
7022583,2024_legi_t2,21021_0001,21,21021,0001,4,405,38.43,54.07,UG,M,PRIBETICH,Pierre,,,,,
7022584,2024_legi_t2,21021_0002,21,21021,0002,4,314,31.53,44.67,UG,M,PRIBETICH,Pierre,,,,,
7022636,2024_legi_t2,21057_0001,21,21057,0001,4,61,20.61,34.46,UG,M,PRIBETICH,Pierre,,,,,
7022647,2024_legi_t2,21067_0001,21,21067,0001,4,121,21.57,33.24,UG,M,PRIBETICH,Pierre,,,,,
7022685,2024_legi_t2,21105_0001,21,21105,0001,4,211,26.24,42.71,UG,M,PRIBETICH,Pierre,,,,,
7022686,2024_legi_t2,21106_0001,21,21106,0001,4,240,33.57,48.58,UG,M,PRIBETICH,Pierre,,,,,
7022706,2024_legi_t2,21126_0001,21,21126,0001,4,129,25.85,40.82,UG,M,PRIBETICH,Pierre,,,,,
7022710,2024_legi_t2,21130_0001,21,21130,0001,4,60,18.99,30.77,UG,M,PRIBETICH,Pierre,,,,,
7022749,2024_legi_t2,21166_0001,21,21166,0001,4,335,43.79,70.38,UG,M,PRIBETICH,Pierre,,,,,
7022750,2024_legi_t2,21166_0002,21,21166,0002,4,379,44.17,74.9,UG,M,PRIBETICH,Pierre,,,,,
7022751,2024_legi_t2,21166_0003,21,21166,0003,4,456,48.56,69.83,UG,M,PRIBETICH,Pierre,,,,,
7022752,2024_legi_t2,21166_0004,21,21166,0004,4,304,42.11,60.44,UG,M,PRIBETICH,Pierre,,,,,
7022753,2024_legi_t2,21166_0005,21,21166,0005,4,353,38.5,64.3,UG,M,PRIBETICH,Pierre,,,,,
7022754,2024_legi_t2,21166_0006,21,21166,0006,4,383,39.73,63.62,UG,M,PRIBETICH,Pierre,,,,,
7022755,2024_legi_t2,21166_0007,21,21166,0007,4,342,41.66,68.81,UG,M,PRIBETICH,Pierre,,,,,
7022756,2024_legi_t2,21166_0008,21,21166,0008,4,360,45.63,78.6,UG,M,PRIBETICH,Pierre,,,,,
7022757,2024_legi_t2,21166_0009,21,21166,0009,4,286,40.8,75.07,UG,M,PRIBETICH,Pierre,,,,,
7022762,2024_legi_t2,21171_0001,21,21171,0001,4,248,29.88,47.06,UG,M,PRIBETICH,Pierre,,,,,
7022763,2024_legi_t2,21171_0002,21,21171,0002,4,290,30.18,47.78,UG,M,PRIBETICH,Pierre,,,,,
7022764,2024_legi_t2,21171_0003,21,21171,0003,4,269,32.73,50.47,UG,M,PRIBETICH,Pierre,,,,,
7022765,2024_legi_t2,21171_0004,21,21171,0004,4,296,33.41,50.43,UG,M,PRIBETICH,Pierre,,,,,
7022766,2024_legi_t2,21171_0005,21,21171,0005,4,196,30.11,50.26,UG,M,PRIBETICH,Pierre,,,,,
7022767,2024_legi_t2,21171_0006,21,21171,0006,4,356,33.62,51.45,UG,M,PRIBETICH,Pierre,,,,,
7022768,2024_legi_t2,21171_0007,21,21171,0007,4,258,27.56,47.78,UG,M,PRIBETICH,Pierre,,,,,
7022769,2024_legi_t2,21171_0008,21,21171,0008,4,290,33.26,50.35,UG,M,PRIBETICH,Pierre,,,,,
