__id,id_election,id_brut_miom,code_departement,code_commune,code_bv,no_panneau,voix,ratio_voix_inscrits,ratio_voix_exprimes,nuance,sexe,nom,prenom,liste,libelle_abrege_liste,libelle_etendu_liste,nom_tete_liste,binome
7084183,2024_legi_t2,21005_0001,21,21005,0001,5,425,38.99,62.96,UXD,M,COUDERT,Thierry,,,,,
7084198,2024_legi_t2,21021_0001,21,21021,0001,5,344,32.64,45.93,UXD,M,COUDERT,Thierry,,,,,
7084199,2024_legi_t2,21021_0002,21,21021,0002,5,389,39.06,55.33,UXD,M,COUDERT,Thierry,,,,,
7084251,2024_legi_t2,21057_0001,21,21057,0001,5,116,39.19,65.54,UXD,M,COUDERT,Thierry,,,,,
7084262,2024_legi_t2,21067_0001,21,21067,0001,5,243,43.32,66.76,UXD,M,COUDERT,Thierry,,,,,
7084300,2024_legi_t2,21105_0001,21,21105,0001,5,283,35.2,57.29,UXD,M,COUDERT,Thierry,,,,,
7084301,2024_legi_t2,21106_0001,21,21106,0001,5,254,35.52,51.42,UXD,M,COUDERT,Thierry,,,,,
7084321,2024_legi_t2,21126_0001,21,21126,0001,5,187,37.47,59.18,UXD,M,COUDERT,Thierry,,,,,
7084325,2024_legi_t2,21130_0001,21,21130,0001,5,135,42.72,69.23,UXD,M,COUDERT,Thierry,,,,,
7084364,2024_legi_t2,21166_0001,21,21166,0001,5,141,18.43,29.62,UXD,M,COUDERT,Thierry,,,,,
7084365,2024_legi_t2,21166_0002,21,21166,0002,5,127,14.8,25.1,UXD,M,COUDERT,Thierry,,,,,
7084366,2024_legi_t2,21166_0003,21,21166,0003,5,197,20.98,30.17,UXD,M,COUDERT,Thierry,,,,,
7084367,2024_legi_t2,21166_0004,21,21166,0004,5,199,27.56,39.56,UXD,M,COUDERT,Thierry,,,,,
7084368,2024_legi_t2,21166_0005,21,21166,0005,5,196,21.37,35.7,UXD,M,COUDERT,Thierry,,,,,
7084369,2024_legi_t2,21166_0006,21,21166,0006,5,219,22.72,36.38,UXD,M,COUDERT,Thierry,,,,,
7084370,2024_legi_t2,21166_0007,21,21166,0007,5,155,18.88,31.19,UXD,M,COUDERT,Thierry,,,,,
7084371,2024_legi_t2,21166_0008,21,21166,0008,5,98,12.42,21.4,UXD,M,COUDERT,Thierry,,,,,
7084372,2024_legi_t2,21166_0009,21,21166,0009,5,95,13.55,24.93,UXD,M,COUDERT,Thierry,,,,,
7084377,2024_legi_t2,21171_0001,21,21171,0001,5,279,33.61,52.94,UXD,M,COUDERT,Thierry,,,,,
7084378,2024_legi_t2,21171_0002,21,21171,0002,5,317,32.99,52.22,UXD,M,COUDERT,Thierry,,,,,
7084379,2024_legi_t2,21171_0003,21,21171,0003,5,264,32.12,49.53,UXD,M,COUDERT,Thierry,,,,,
7084380,2024_legi_t2,21171_0004,21,21171,0004,5,291,32.84,49.57,UXD,M,COUDERT,Thierry,,,,,
7084381,2024_legi_t2,21171_0005,21,21171,0005,5,194,29.8,49.74,UXD,M,COUDERT,Thierry,,,,,
7084382,2024_legi_t2,21171_0006,21,21171,0006,5,336,31.73,48.55,UXD,M,COUDERT,Thierry,,,,,
7084383,2024_legi_t2,21171_0007,21,21171,0007,5,282,30.13,52.22,UXD,M,COUDERT,Thierry,,,,,
7084384,2024_legi_t2,21171_0008,21,21171,0008,5,286,32.8,49.65,UXD,M,COUDERT,Thierry,,,,,
7084385,2024_legi_t2,21171_0009,21,21171,0009,5,234,29.21,47.85,UXD,M,COUDERT,Thierry,,,,,
7084396,2024_legi_t2,21183_0001,21,21183,0001,5,283,44.36,68.86,UXD,M,COUDERT,Thierry,,,,,
7084397,2024_legi_t2,21183_0002,21,21183,0002,5,46,36.51,55.42,UXD,M,COUDERT,Thierry,,,,,
7084422,2024_legi_t2,21209_0001,21,21209,0001,5,246,34.21,49.3,UXD,M,COUDERT,Thierry,,,,,
7084423,2024_legi_t2,21209_0002,21,21209,0002,5,254,31.67,48.11,UXD,M,COUDERT,Thierry,,,,,
7084496,2024_legi_t2,21231_0053,21,21231,0053,5,209,21.09,38.42,UXD,M,COUDERT,Thierry,,,,,
7084497,2024_legi_t2,21231_0054,21,21231,0054,5,186,21.5,35.43,UXD,M,COUDERT,Thierry,,,,,
7084498,2024_legi_t2,21231_0055,21,21231,0055,5,158,20.79,36.66,UXD,M,COUDERT,Thierry,,,,,
7084499,2024_legi_t2,21231_0056,21,21231,0056,5,202,18.76,31.86,UXD,M,COUDERT,Thierry,,,,,
7084500,2024_legi_t2,21231_0057,21,21231,0057,5,171,18.75,30.16,UXD,M,COUDERT,Thierry,,,,,
7084509,2024_legi_t2,21231_0066,21,21231,0066,5,80,25.64,40.4,UXD,M,COUDERT,Thierry,,,,,
7084515,2024_legi_t2,21231_0072,21,21231,0072,5,149,18.7,29.1,UXD,M,COUDERT,Thierry,,,,,
7084517,2024_legi_t2,21231_0074,21,21231,0074,5,244,25.28,40.67,UXD,M,COUDERT,Thierry,,,,,
7084526,2024_legi_t2,21231_0083,21,21231,0083,5,236,25.76,39.73,UXD,M,COUDERT,Thierry,,,,,
7084527,2024_legi_t2,21231_0084,21,21231,0084,5,271,27.51,44.5,UXD,M,COUDERT,Thierry,,,,,
7084528,2024_legi_t2,21231_0085,21,21231,0085,5,232,24.89,37.24,UXD,M,COUDERT,Thierry,,,,,
7084529,2024_legi_t2,21231_0086,21,21231,0086,5,184,17.34,29.11,UXD,M,COUDERT,Thierry,,,,,
7084530,2024_legi_t2,21231_0087,21,21231,0087,5,272,27.23,40.48,UXD,M,COUDERT,Thierry,,,,,
7084539,2024_legi_t2,21231_0096,21,21231,0096,5,17,13.39,51.52,UXD,M,COUDERT,Thierry,,,,,
7084550,2024_legi_t2,21242_0001,21,21242,0001,5,78,36.11,61.9,UXD,M,COUDERT,Thierry,,,,,
7084569,2024_legi_t2,21261_0001,21,21261,0001,5,207,40.04,56.1,UXD,M,COUDERT,Thierry,,,,,
7084607,2024_legi_t2,21292_0001,21,21292,0001,5,315,37.77,57.48,UXD,M,COUDERT,Thierry,,,,,
7084608,2024_legi_t2,21292_0002,21,21292,0002,5,356,36.33,58.36,UXD,M,COUDERT,Thierry,,,,,
7084609,2024_legi_t2,21292_0003,21,21292,0003,5,271,33.13,56.81,UXD,M,COUDERT,Thierry,,,,,
7084610,2024_legi_t2,21292_0004,21,21292,0004,5,342,38.34,57.58,UXD,M,COUDERT,Thierry,,,,,
7084641,2024_legi_t2,21319_0001,21,21319,0001,5,309,44.27,67.32,UXD,M,COUDERT,Thierry,,,,,
7084642,2024_legi_t2,21320_0001,21,21320,0001,5,261,40.85,62.44,UXD,M,COUDERT,Thierry,,,,,
7084653,2024_legi_t2,21330_0001,21,21330,0001,5,136,44.88,62.96,UXD,M,COUDERT,Thierry,,,,,
7084674,2024_legi_t2,21351_0001,21,21351,0001,5,366,41.73,62.56,UXD,M,COUDERT,Thierry,,,,,
7084675,2024_legi_t2,21352_0001,21,21352,0001,5,215,43.79,67.82,UXD,M,COUDERT,Thierry,,,,,
7084676,2024_legi_t2,21352_0002,21,21352,0002,5,175,41.77,66.04,UXD,M,COUDERT,Thierry,,,,,
7084677,2024_legi_t2,21353_0001,21,21353,0001,5,402,40.2,62.71,UXD,M,COUDERT,Thierry,,,,,
7084679,2024_legi_t2,21355_0001,21,21355,0001,5,276,26.49,41.75,UXD,M,COUDERT,Thierry,,,,,
7084680,2024_legi_t2,21355_0002,21,21355,0002,5,302,25.55,39.89,UXD,M,COUDERT,Thierry,,,,,
7084681,2024_legi_t2,21355_0003,21,21355,0003,5,231,31.6,53.1,UXD,M,COUDERT,Thierry,,,,,
7084682,2024_legi_t2,21355_0004,21,21355,0004,5,294,27.71,42.06,UXD,M,COUDERT,Thierry,,,,,
7084683,2024_legi_t2,21355_0005,21,21355,0005,5,169,24.14,37.64,UXD,M,COUDERT,Thierry,,,,,
7084684,2024_legi_t2,21355_0006,21,21355,0006,5,170,22.82,38.29,UXD,M,COUDERT,Thierry,,,,,
7084699,2024_legi_t2,21370_0001,21,21370,0001,5,285,40.14,59.38,UXD,M,COUDERT,Thierry,,,,,
7084718,2024_legi_t2,21388_0001,21,21388,0001,5,199,48.07,72.36,UXD,M,COUDERT,Thierry,,,,,
