__id,id_election,id_brut_miom,code_departement,code_commune,code_bv,no_panneau,voix,ratio_voix_inscrits,ratio_voix_exprimes,nuance,sexe,nom,prenom,liste,libelle_abrege_liste,libelle_etendu_liste,nom_tete_liste,binome
2320,2026_muni_t2,21023_0001,21,21023,0001,1,322,31.91,50.16,,M,LEROUX,Benjamin,,"ARNAY PASSIONNEMENT","ARNAY PASSIONNEMENT",,
2321,2026_muni_t2,21231_0001,21,21231,0001,6,36,3.19,6.23,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2322,2026_muni_t2,21231_0002,21,21231,0002,6,35,3.78,6.65,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2323,2026_muni_t2,21231_0003,21,21231,0003,6,20,2.73,5.31,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2324,2026_muni_t2,21231_0004,21,21231,0004,6,27,2.97,6.57,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2325,2026_muni_t2,21231_0005,21,21231,0005,6,43,4.32,7.85,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2326,2026_muni_t2,21231_0006,21,21231,0006,6,51,5.51,10.54,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2327,2026_muni_t2,21231_0007,21,21231,0007,6,44,4.15,7.38,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2328,2026_muni_t2,21231_0008,21,21231,0008,6,57,6.43,12.72,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2329,2026_muni_t2,21231_0009,21,21231,0009,6,50,5.21,9.56,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2330,2026_muni_t2,21231_0010,21,21231,0010,6,54,5.24,9.64,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2331,2026_muni_t2,21231_0011,21,21231,0011,6,60,5.99,11.39,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2332,2026_muni_t2,21231_0012,21,21231,0012,6,30,3.26,5.77,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2333,2026_muni_t2,21231_0013,21,21231,0013,6,39,4.14,7.2,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2334,2026_muni_t2,21231_0014,21,21231,0014,6,29,3.65,7.4,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2335,2026_muni_t2,21231_0015,21,21231,0015,6,43,4.53,7.78,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2336,2026_muni_t2,21231_0016,21,21231,0016,6,48,5.95,10.3,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
2337,2026_muni_t2,21231_0017,21,21231,0017,6,40,4.92,8.97,LUXD,M,COUDERT,Thierry,,"LE RASSEMBLEMENT DIJONNAIS","LE RASSEMBLEMENT DIJONNAIS",,
